,Avg,Std
Linear,0.0909518912497026,0.04611257224832962
Hyper Linear,0.061033804809793056,0.0185607665141961
LSTM,1.7545735012320574,0.31825714329836025
Hyper LSTM,0.1819580899328787,0.12171754173158665
